Game States,Optimal Moves
bbbxoobox,x2
bbbobxbbb,o5
xobbbbobb,x5
xobxbooxb,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbxxboo,o4
bxbbbbbbo,o5
bbbbxbobb,o1
bobbbxbbb,o5
oxbooxbox,x7
obbbbbbbb,x5
bbbbbobbb,x5
bbbbbobbb,x5
obbbbbbxo,x5
xoooxxxbo,o8
bbbbbbbbb,o5
bxboobbbb,x6
xbxbxoboo,o2
bobbxbbbb,o1
xoxbbbobb,o5
bboxbobbb,x9
oxbbooxox,x4
bbbbobbxb,o1
bbbbbbbob,x5
bobbbbbbb,x5
xbobbbbbb,o5
obbbbbbbb,x5
bobbbbbbb,x5
oxoxxobox,o7
bbbbbbbob,x5
boxxbobbb,o5
bbboboxbb,x5
bobxbbbbb,o5
bbbobbbbb,x5
xobxbobxo,o7
bbbbbbbbb,o5
xbbbbbbob,o5
bbbbbbbbo,x5
bbxxoobbb,o1
bbbbbbbbb,o5
obbbbbbbb,x5
xbboxbbbo,o3
bxoxobbbb,o7
xobbobbbb,x8
oboxxboxo,x2
bobbbbbxb,o5
bbbbbbbbb,o5
oxxbbboob,x9
bbbbbbbbb,o5
bbbbbbbob,x5
boxxxooox,o1
oxoobxxox,o5
bobbbbbbb,x5
xooooxxbx,o8
bbxobboxb,o1
xooxxbobb,o6
bbbbbbbbb,o5
oxbbboxxo,o5
oxobxxboo,x4
obbbboxbb,x5
oxbboxobx,o4
bbobbbbbb,x5
bxobbbxbo,o6
boxobbbxo,x5
boooxbxbx,o1
obxbbbxbo,o5
bbbobbbbb,x5
bboobbxbx,o8
bbbxbbobb,o5
bbobbbbbb,x5
bxbobbbbo,x5
bxbbxbboo,o7
bbbbbbobb,x5
xbboobxob,x6
bbbbxbbbo,o1
bxxbobbob,o1
xobxbobob,x7
bboxbbbbb,o5
oxoxooxxb,o9
bbbbbbbbb,o5
obbxxoobb,x3
xbbbbbobb,o5
bxbxobboo,x7
bbbbbbbbb,o5
bbobxbbbb,o1
xoooxxxob,o9
obbbbbobx,x4
bbbbbbbbb,o5
bbxbobobx,o6
xxoxbooob,x9
bbbbbbbbb,o5
oxbxooobx,x3
oobobbbxx,x3
obbbobbxb,x9
bbxbbxobo,o8
oxoxobxob,x9
oobobxxbx,o3
bbobxbbob,x1
ooxxxobob,x7
bbbbbbbbb,o5
bbxooboxx,o6
bbobxobbx,o1
bbbbxbbbo,o1
obobxboxx,o2
bbbbbbbob,x5
bbbobxbbb,o5
obxxxooob,x9
bbbbbobbb,x5
bbxobbbbb,o5
oxbbobbxb,o9
bbbbbbbox,o5
ooxbobbbx,x8
bboobbxxo,x6
xobbbbbbb,o5
obxobobxx,o5
bbbxbobbb,o5
bobbbbbbb,x5
bxbbxoboo,x7
bbbbxobbb,o1
xbxobobbo,x2
obbooxxox,x2
bbbbbbbbo,x5
boobxoxxb,o1
bxxoxobbo,o1
obobbbxbb,x2
oobbbbxxo,x3
bbbbbbbbb,o5
bxxobooox,x1
bbbbbbobb,x5
bbbbbxbbo,o5
bbbbbbbbb,o5
bbobbbbbb,x5
bbobbbbbb,x5
ooboxbxbx,o3
bbbboobxb,x4
boobbxbbx,o1
bxoxxooox,o1
bbbbbbbob,x5
obxbboxox,o5
bxoobxoox,x1
bbbbbxbob,o5
bbbbbobbb,x5
oboxbbobx,x2
bbbbbbbob,x5
obbboxbox,x2
bbxobxxoo,o5
obbbbbbbb,x5
xxoboobbb,x4
oxobbbbbb,x5
bbbbbbbbo,x5
xoxxbboob,o9
bbobbbxbb,o5
bxoooxxxo,o1
xoooxboxb,x9
obxxoobox,x2
bobbxxboo,x4
boxbbbbbb,o5
bbbobbbbb,x5
oboxxbxob,o2
bobxbbbbb,o5
bbbbbbbob,x5
bbbbbbbob,x5
oxoxbboxb,o5
bobobbxxb,o9
oxxxoobbb,o9
booxbbxbo,x1
bbobbbbbb,x5
xboxbbbob,o7
xbbbbbbob,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
bxxboooox,x1
bobbbxbxo,o5
bbbbbbbbb,o5
bbbbxbbbo,o1
boxoxboox,x1
bbbbbobbb,x5
oxxbobxob,o9
xbbobbbbb,o5
ooxbooxxb,x4
bbbbbbbbb,o5
bbobbxbob,x5
bbbbbbbbo,x5
bbbobbbbb,x5
bbbbobbbb,x1
bbobbxbbb,o5
xxbbbobob,o3
obxoboxbb,x5
bbbbooxbb,x4
bbbbbbbbb,o5
bxoobxbob,x5
xbbbbooxb,o5
bobbbbbox,x5
obbbbxbxo,o5
bbbboxbbb,o1
obbbbbxbo,x5
bbbbbboxb,o5
oboobbxxb,x2
bbbbbbbbb,o5
bbxbbobbb,o5
bxoxboxob,o1
bbobbbbxb,o5
obxbbxbob,o9
xoboboxbb,x5
bxobobbox,x7
bobxbbbbb,o5
obbxbobbx,o5
obobxbbbb,x2
bbbbbbbbb,o5
xobooxxxo,o3
bbbxbbbbo,o5
xbbbbbbbo,o5
xobbxbobb,o9
xobxbobbb,o7
oobbbbbbx,x3
bbxoobxox,o6
boxxxoobb,o1
booxxbxbo,o1
bbboxobbb,x1
bbbbbbbob,x5
bbbbxboob,x9
bobbbbbbb,x5
bbbobbxbo,x5
xxobboobb,x9
boxoxbobx,o1
bbbbbobxb,o5
bobbbbbbb,x5
oxbbbobxo,x5
bbobbxbbb,o5
bbbbbbobb,x5
bbbbxbbob,o1
xbbbobxbo,o4
obbbbbbbb,x5
bbxbbobxo,o5
oobbbbbbx,x3
bxxboboob,x1
bbbbbboxb,o5
bobbbbbbb,x5
bbbbobbbb,x1
oxbxbbbbo,o5
bxooobbxx,o6
xbxobbobb,o2
bbbbbbbbb,o5
bobxoxoxb,o3
obxxboobb,x5
xbxbboboo,x2
bbobxobbb,x9
bbbbbbbob,x5
bbbobbbbb,x5
xooobobxx,x5
obboxbbbx,o7
bxobbbbbb,o5
bbbbbbbbb,o5
bxoxobbbb,o7
bbbbbbbbb,o5
bbbbobbbb,x1
bbbbboxox,o5
bboxboxbb,o1
bbobbbxbo,x6
bbbobbbbb,x5
bbbbbbbbo,x5
xxoboobxb,o4
bbbobbbbb,x5
xoooxoxbb,x9
obxooxbbb,x7
bbbxboxob,o1
xbbobbbbb,o5
oxbbxbbob,o3
oxbbxobbb,o8
boobxbxbo,x1
bbbbbbbbb,o5
xbbxbbobo,o8
oxxboboox,x4
ooboxxxox,o3
bxobbbbbb,o5
xbbbbobbb,o5
bbxbobobb,x1
bobbxbobb,x1
bbbbbbbbb,o5
oxboobxbx,o6
bbbbobbbb,x1
boobbbbxb,x1
obxxbbboo,x7
oboxbbxox,o2
obboboxbx,x5
obbbxbbbb,o3
bbbbbbbbb,o5
bbbbobbbb,x1
bboobbbxb,x5
oxxboboox,x4
oobxbbbbb,x3
bobxoboxb,x3
bbbbbbbbb,o5
xbbbbxoob,o9
bxxobxoob,o1
bbbbboxbb,o5
bbbboxbob,x2
xbbxoobbb,o7
bbbbbbbbb,o5
xoobbxobb,x5
bxbobboxo,x1
bbooxbobx,x1
oboxoobxx,x2
oxxbbooox,x4
bbbbbbbbb,o5
bbbbobbbb,x1
oxxooxbbb,o7
bbbbxbbbo,o1
obbbbxobb,x4
boboxxbbo,x1
bbbxxbobo,o6
bbbbbbbbb,o5
obxxoobox,x2
bbbbxobob,x1
bbbbbbbbb,o5
oobxoxbbb,x3
oxbbxoxbo,o8
bbboobxbx,o6
bboxxobob,x9
oxobbbbxb,o5
oobbobxbx,x3
bbbbbbbbb,o5
xoxboboxo,x4
bbbbbxobb,o5
boxobbbxb,o5
xoxobboxb,o5
bobxbbbbb,o5
xbobbbbox,o5
bobbxbbbb,o1
bobbbxbox,o5
xoxobobxb,o5
bbbbbbbbb,o5
oxbxxoobb,o8
oxbbbbbbb,o5
oxobbxbbb,o5
bbbbbbbbb,o5
bbobxbbbb,o1
bbbbbbbbb,o5
xbbobbbbb,o5
xboooxxox,o2
xbobbobbb,x9
bbbbbbbbb,o5
obbbbbbbb,x5
bbbbbobbb,x5
boobbxobx,x1
obbbbbbbb,x5
bbbbobbxb,o1
bbxobobbb,x5
bbbbbboxb,o5
bbbxbobxo,o3
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbxobbb,o1
bxbbboxob,o5
bbbbbbbbb,o5
xobbbobbx,o5
bbbbbobxb,o5
xbobxxobo,o4
boxbboxbo,x5
bbbbbbbbb,o5
bobbbobbx,x5
bbbbxxobo,o4
bobxooxbb,x1
bbbbbbbbb,o5
ooxxbxoxo,o5
obbbbbxox,o5
ooboxxbox,x3
bxobxbbbo,o8
bobxbbbbb,o5
bboobbbbx,x5
ooxbbobxb,x5
bbbbbbbbb,o5
obbobbxbb,x5
bbbbbbbbb,o5
obbbbbxbo,x5
bboxbbobb,x5
xoxoboxbb,o5
bbbbbobbb,x5
bbbbbbbbb,o5
obxbbbbbb,o5
obbbbxbbb,o5
bbbbbbobb,x5
bbbxbbobo,x8
bbbbbbbbb,o5
bbbbxbobo,x8
bbbbbbobb,x5
xoxobxbbo,o5
bbbbbbbbb,o5
bxxbxooob,o1
bbboxbbbb,o1
bobxbbobx,o5
xbbbbbbob,o5
bbbbxboob,x9
bbxbobbbb,o1
xobxooobx,x8
bbbobbobx,x1
bbbobxbob,x5
bbbboboxb,x3
bxxooboxo,x1
bbbxbboob,x9
obxoxxbbo,o7
xobboxobx,o8
bbbbbbbbb,o5
bxxboobox,o1
ooxxoobxx,o7
xxoobxbbo,o5
bbobxbbbb,o1
bbbbbbbbo,x5
boobxbbbb,x1
ooxboboxx,x4
bxbbbobob,x5
bbbbbbbbb,o5
bbbbbbbbb,o5
bxbbbbbbo,o5
oxoxxbbob,o6
bbxbbbbbo,o5
bbobxbbbb,o1
bbbbbbbbb,o5
bbbbbbbbb,o5
xoxxoxobo,o8
xobobxbbo,x5
bbbobbbbb,x5
obbobxbbb,x7
bbbbbbbob,x5
bbbobbbbb,x5
bbbbbbbbb,o5
bbobbbbbb,x5
oboobxxxb,o2
ooxobbbxb,x7
obbxbbobb,x5
obbbbbbxb,o5
bobbboxxb,o9
bxobbbxob,o5
bbbbbbbbb,o5
bobbbbbbb,x5
boboboxxb,x5
boxboboxb,x1
bxoobooxx,x5
bxobbbbbb,o5
bxobbbbbb,o5
xbxbbboob,o2
bbobbbbbb,x5
bbbbbbbbb,o5
bbbobxobb,x1
xooobxoxb,x5
bbxoobbxo,x6
oobxxboxo,x3
bxoxboobb,x9
obobxoxox,x2
obbbbxxbo,o5
bxoobxxbo,o5
bxbobxbob,o5
bbbbbbbbb,o5
obbxbbbxo,o5
boxbbbbbb,o5
obbxbbbbb,o5
xbobobbbx,o7
obxxoobox,x2
bbbbbbbbb,o5
oxxboooxx,o4
bbobbbbbb,x5
bbbbbbxob,o5
obbbbxbbb,o5
bboobbbbx,x5
bbboxbbbb,o1
bbbbbbbob,x5
bbbbbbbbb,o5
bbbbobbxb,o1
bobbxbxob,o3
obbxxoxoo,x3
bbobbbxbb,o5
boxobobxx,o5
oxxxbooox,o5
bobbbbbbb,x5
bbbbobbbx,o1
ooxxbxobb,o5
xobobxoox,x5
bbbbbbbbb,o5
xxooboobx,x5
bboxbxbob,o5
bbbbbxobb,o5
