Game States,Optimal Moves
xobxoboxb,o3
oobbxobxx,o3
bbbobbbbb,x5
bbbbbbbox,o5
oxxoboxox,o5
ooxoxobxx,o7
bobbxoxxo,o3
xbobbbbbb,o5
bobbbxbxo,o5
bbxbobbbb,o1
xobbxboxo,o3
xbboobbbb,x6
xbbobbxob,o5
xxoxbooob,x9
bbobbobbx,x5
oxooxxbox,o7
obbooxbxb,x7
bxoxbbbbo,o6
bbbobxbbb,o5
obbxbbbbb,o5
oobxoxobx,x3
xbobobbbb,x7
obbbbxbob,x5
bbbbxbbob,o1
bbbbbbxbo,o5
bbbobbbox,x5
xxobbobbb,o9
bboboxxob,x2
bbbbbbbbb,o5
oxxbbbbbo,o5
bbbbbbbbb,o5
bobbbxobb,x5
bobbbbbbx,o5
bbbobbbbx,o5
obboxxxoo,x3
bbbbbbbbb,o5
oobbbxxbb,o3
xxobbbobo,x8
oxxbbboxo,o4
bbbxbbobb,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
obbbbbbbb,x5
xoxxbooob,x9
xbbbobobx,o3
bbbbxobbb,o1
bxxoxoobb,o1
bbbobbbbb,x5
obooxoxxb,x2
obbbbbbbb,x5
bbbbbbbbo,x5
booxoxbbx,o1
oxooxoxbb,x8
bbbbbbbbo,x5
bbbobbbbb,x5
bobbxbobx,o1
obbbxbbbb,o3
bobxbbbbo,x5
oobbxbxob,x3
oboxobxxb,o2
oxoxbxobb,o5
bbxobbbob,x5
obbbbbbbb,x5
xobboobbx,x4
bbbbbbbbb,o5
bbxoxbbob,o7
xoboxbxob,o9
bbbbbbobx,o5
bbobbbxbb,o5
obboxoxbb,x3
bbobbbxbb,o5
bbbbbobxo,x3
bboboxbbb,x7
bxoxoxbbo,o1
xxoobbbox,o5
bbbbxbbob,o1
xbboobobx,x6
bbbbbbbbb,o5
obbobbbbx,x7
oobbxxbox,o3
bbbbbbbob,x5
obxbobxox,o2
xbbbbxobo,o8
bxbxobbbo,o1
bbbbbbbob,x5
bobobbbbx,x5
bbbbxbobb,o1
xoxbxoboo,x7
obobxxbox,o2
xxbxoooxo,o3
obbbxbbbb,o3
ooxbxxoxo,o4
obbbbbbbb,x5
xxboboobb,x3
bobbbbbbb,x5
xbbbobxoo,x4
xoxbboxbo,o4
obxxobbbb,o9
obxoxxbob,o7
obbbbbbbb,x5
bbboxbbbb,o1
bbbbbbbbb,o5
bbxobbbbb,o5
oxboxxbob,o7
oxxoxobbo,x7
bbxxboobb,o5
bbbbbobbb,x5
xbbbbobbo,x3
boxbbbbbo,x5
bbxbbbbbo,o5
xbbbbbbbo,o5
bbbbbbobb,x5
bbbbbbbbb,o5
boxbooxxb,o4
obxxxooox,o2
oxoobobxx,x5
obobxbxbb,o2
xoobxoxob,x4
obbbbbbbb,x5
bxbxoooxo,x3
bbbbbobbb,x5
xooxbboox,x5
bbbbbbbbb,o5
bbbbbbbbb,o5
bxxboboxo,o1
ooxooxxxb,o9
bbbbbbbbb,o5
oobbxxbob,x3
bbbbbbbbb,o5
xoooxxobb,x9
bxboxbbob,o1
oobxbbbbx,o3
bbobbbbbb,x5
bobboxbbx,o8
xbxooxxoo,o2
bobxoxbxo,o1
booxoxbbb,x1
obbbbbxbb,o5
obbbbxbxo,o5
boboxbbxb,o1
bobxbobbx,o5
bbobbbbbb,x5
xbbboxbob,o2
xoxobobbx,o5
bbbbbbbbb,o5
bbbxooxbo,x1
bbobbobxb,x9
bbbbbbbbb,o5
oboobxxxb,o2
obbbbbbbb,x5
bbbbbbbbo,x5
boxbxboob,x9
bobbbbbxb,o5
obbbobbbx,x3
obbbxxboo,x4
bobbbbbbb,x5
oxxboobbb,x4
bbbbbbbbb,o5
bbbxbbobb,o5
boxoxooxb,x1
bxobbbbbo,x6
xoxboooxx,o4
bbboxxoxo,o1
bobbxbbbo,x1
bobxobbbb,x8
bbbbbbbbb,o5
oobbbbbxb,x3
obbbbbbbb,x5
xxbobbbob,o3
bxbbbbbbo,o5
bbbbbbbbb,o5
oxbobbxbo,x5
bbbbbbbbb,o5
bbbboxbbb,o1
bbbbbbbbb,o5
