Scramble (State),Solution
R B L' F U' F2 B L' B' D2 U' B F2 U2 R2 L U2 L' R' F' , F2 F2 Y B L U' L' B' F2 Y R U R' F2 Y L U' L' F2 Y L' U L U' R U R' Y U' F' U' F Y R U R' U' R U R' Y R U R' Y Y Y U' Y U' L' U L U F U' F' Y Y U2 Y2 U R U' R' U' F' U F Y U R U' R' U' F' U F Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' U U U U R U' L' U R' U' L U R' D' R D R' D' R D R' D' R D R' D' R D U U R' D' R D R' D' R D U U U 
L2 B R2 L' F B L' D' U R L F2 D2 R' F' L' F2 R' U L2 , R' F' U F R U U U F2 Y R2 U F2 Y F2 Y F2 F2 Y U R U2 R' U' R U R' Y R U R' U' R U R' Y B U B' F' U' F Y U2 F' U' F Y U' Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U' L' U L U F U' F' Y Y Y Y U R U' R' U' F' U F Y R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U U U U U 
R F U2 R D' F' B2 D' B' R' F2 L2 F2 R2 D2 L U2 D2 B2 D2 , L' U' L F2 Y B U' B' U U U F2 Y F2 F2 Y R' U R F2 Y R U R' Y U R U R' Y U2 R U R' Y U' R U R' Y U Y' U' L' U L U F U' F' Y Y U R U' R' U' F' U F Y Y U' Y U R U' R' U' F' U F Y Y Y U' Y U' L' U L U F U' F' Y Y U Y' U R U' R' U' F' U F Y F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' U U U U R U' L' U R' U' L U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U U U R' D' R D R' D' R D U 
B2 R2 D B2 D2 F' R2 D' R' D B2 U' D' B' F R2 L2 F2 U2 B , F' U F U U U F2 Y R2 U F2 Y L' U' L F2 Y L' U' L F2 Y L' U' L F' U' F Y B U' B' U F' U' F Y B U B' F' U' F Y R U R' U' R U R' Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y U' Y U' L' U L U F U' F' Y U' L' U L U F U' F' Y Y Y U2 Y2 U' L' U L U F U' F' Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' U R U' L' U R' U' L U U U U R U' L' U R' U' L R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U U U 
L2 D2 U2 B R F2 R' D2 L2 B' U2 L' D2 U2 L2 R' D R' U2 L' , R' U R F2 Y F2 Y L U' L' F2 Y F2 Y F' U' F Y B U B' R U R' Y U R U R' Y R U R' U' R U R' Y U Y' U R U' R' U' F' U F Y Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y Y Y U Y' U R U' R' U' F' U F Y F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U U R U' L' U R' U' L U R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U U U U 
R U2 F2 L D2 B2 R2 U2 L2 B U B' L' B2 U2 F U B2 U' R , U U U F2 Y F R U' R' F' U U F2 Y U F2 Y L' U' L F2 Y B' U2 B R U R' Y U R U R' Y R U' R' F' U' F Y U F' U' F Y U2 Y2 U R U' R' U' F' U F Y Y U' Y U R U' R' U' F' U F Y U Y' U' L' U L U F U' F' Y Y U R U' R' U' F' U F Y U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' U U U U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U U 
B2 L F2 U2 B' U F2 U2 D2 R D' U F2 L2 F L' U2 D' R F , U F2 Y L F U' F' L' U F2 Y U U U F2 Y U F2 Y U F' U' F Y U2 F' U' F Y B U B' F' U' F Y R U2 R' U' R U R' Y U' Y U' L' U L U F U' F' Y U2 Y2 U' L' U L U F U' F' Y Y U' L' U L U F U' F' Y U U U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U U U R' D' R D R' D' R D U U U 
F' U D F2 U2 B2 D B R2 U2 L2 B2 U F2 L2 R2 F B U2 R' , F2 F2 Y U U U F2 Y L F U' F' L' U F2 Y L U' L' F2 Y U' F' U' F Y U F' U' F Y B U B' F' U' F Y U2 F' U' F Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U' L' U L U F U' F' Y U' L' U L U F U' F' Y U' Y U' L' U L U F U' F' Y Y Y U' L' U L U F U' F' Y U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U R U' L' U R' U' L U R U' L' U R' U' L U R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U U U 
L B2 D2 L2 D2 L R U' F' D2 B2 D' B2 F' D2 B2 L2 B D' B' , F2 Y B R' U R F2 Y R U R' F2 Y U U U F2 Y R U R' Y U' R U2 R' U' R U R' Y U2 R U2 R' U' R U R' Y U' R U R' Y U2 Y2 U' L' U L U F U' F' Y Y U Y' U' L' U L U F U' F' Y Y Y U Y' U' L' U L U F U' F' Y Y Y Y U2 Y2 U R U' R' U' F' U F Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U R U' L' U R' U' L U U U U R U' L' U R' U' L U R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U U U U 
F' U R2 L2 B2 U F2 U2 F2 B R2 F' U R U' B L B L' U2 , F2 Y L' U' L F2 Y F2 Y B' U B U F2 Y U F' U' F Y B U B' F' U' F Y R U' R' F' U' F Y R U R' Y U R U' R' U' F' U F Y U Y' U R U' R' U' F' U F Y U2 Y2 U' L' U L U F U' F' Y Y U R U' R' U' F' U F Y Y U R U' R' U' F' U F Y Y Y U Y' U R U' R' U' F' U F Y F R U R' U' F' F R U R' U' F' U R U' L' U R' U' L U U U U R U' L' U R' U' L U U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U U U U 
R2 F2 L' B2 F' U B' D' L2 R2 B2 L' B2 F L2 U2 R L D L , F' R U' R' U U F2 Y B L U' L' B' F2 Y B U' B' U U U F2 Y L F U' F' L' U F2 Y R U R' U' R U R' Y U F' U' F Y U' R U2 R' U' R U R' Y Y Y U2 Y2 U' L' U L U F U' F' Y Y Y U' Y U R U' R' U' F' U F Y Y U Y' U R U' R' U' F' U F Y Y Y U2 Y2 U R U' R' U' F' U F Y U U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' U U U R U' L' U R' U' L U R U' L' U R' U' L U U U U 
U D' L' D2 B2 F' D2 B2 R2 D' L2 F' D R2 F2 U' D2 F L' F' , B' U B U F2 Y B U' B' U U U F2 Y F R U' R' F' U U F2 Y R' F' U F R U U U F2 Y B' U B U2 R U R' Y U R U2 R' U' R U R' Y R U' R' F' U' F Y R U' R' F' U' F Y Y U Y' U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U U R U' L' U R' U' L U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U U U 
U' B D2 R B' D2 F' D' U2 F' R2 B' F U2 B' R U2 B2 R2 F , B2 U U F2 Y U U U F2 Y R' U R F2 Y L F U' F' L' U F2 Y U2 R U R' Y R U' R' F' U' F Y B U' B' U F' U' F Y R U R' U' R U R' Y U R U' R' U' F' U F Y Y U R U' R' U' F' U F Y U Y' U' L' U L U F U' F' Y Y Y U2 Y2 U R U' R' U' F' U F Y Y Y U Y' U' L' U L U F U' F' Y F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U U U U 
