Scramble (State),Solution
U2 L F D2 U2 F2 U D2 R2 B2 L R' D L U' L D F' B2 L2 , R U R' F2 Y B L U' L' B' F2 Y L U' L' F2 Y U U U F2 Y B U B' B' U' B U U R U2 R' U' R U R' Y U' B U B' U U U U F' U' F U' F' U' F Y B U' B' U B U B' U U U U' R U R' U' R U2 R' Y U F' U' F U F' U2 F Y Y Y R' F R F' U2 R2 Y R' F' R F' U Y Y Y R' U R' Y U' R' F' R2 U' R' U R' F R F 
R L2 F2 U2 D2 L2 B L2 D L' F D F2 U2 F' U2 L2 U B2 L2 , L F U' F' L' U F2 Y L U' L' F2 Y R U R' F2 Y R U R' F2 Y B' U B U2 U' F' U F Y B U B' B U B' U U U U F' U2 F U F' U2 F Y R U R' U' R U' R' U Y' U R' U' R Y Y U' R U' R' U Y' U R' U' R Y Y F R' F' R U R U' R' U Y Y Y Y U Y Y Y Y U Y Y R U R' F' R U R' U' R' F R2 U' R' U' 
D2 R2 L2 U' D2 L2 F' L2 F R2 L' U' B2 F' R2 U F U B' L , B2 U U F2 Y R U R' F2 Y F2 Y R' U R F2 Y B U B' U U U U2 F' U' F U' F' U F Y U U R U' R' Y U U' R U2 R' U F' U' F Y U2 R U R' U' R U R' U' R U R' Y Y Y F' U' L' U L F U Y Y Y Y U Y Y Y Y U Y Y R U R' F' R U R' U' R' F R2 U' R' U' 
R' L' U B2 F2 U2 R2 L2 F B' D F2 D2 R2 F' R U2 L2 D L , U U F2 Y R' U R F2 Y U U U F2 Y R' U R F2 Y U' B' U' B U U Y' R' U' R U2 R' U' R U R' U' R Y Y U' R U R' U' R U2 R' Y B U B' U' R U R' U R U R' Y R U' R' U' R U2 R' U' R U2 R' Y R U R' Y R' F R U' R' F' R U Y Y Y Y U Y Y Y Y U Y Y Y R' U2 R U2 R' F R U R' U' R' F' R2 U' 
B' L2 R2 D2 F B L2 D2 L2 F2 L D U' R2 L2 B2 D B2 D2 F , F2 F2 Y F2 F2 Y U U U F2 Y R U R' F2 Y U' U F' U' F U' F' U' F Y R U' R' B' U' B U U Y' R' U' R U2 R' U' R U R' U' R Y Y R U R' U' R U R' Y U2 U' R U2 R' U' R U2 R' Y Y R' Y U' L Y' U R U' R' F' R U Y Y Y Y U Y Y Y Y U Y Y Y Y U Y Y F R U' R' U' R U R' F' R U R' U' R' F R F' 
F' R D B2 F R' D' F2 U2 D B' L2 R' U F2 U2 F U2 L2 F2 , F' U F U U U F2 Y L F U' F' L' U F2 Y F U' F' U F2 Y F U' F' U F2 Y U B U B' U U U U2 F' U' F U' F' U F Y U2 U' F' U2 F U' F' U F Y B U' B' U U' R U R' Y' U R' U' R Y Y U F' U F U' Y U' F U F' Y' Y R U' Y R2 D R' U2 R D' R2 Y' U R' U Y R U' R U R U R U' R' U' R2 
R' F' U L2 D' L' D2 R' L2 D2 L D2 R U2 R' F B2 U F2 U , B U' B' U U U F2 Y U U U F2 Y B L U' L' B' F2 Y U U F2 Y U B' U' B U U U R U' R' Y U2 U F' U2 F U F' U2 F Y B U B' U' R U2 R' U' R U2 R' Y U2 U F' U' F Y U' F U F' Y' Y R' F R U R' U' Y L' Y' U R U Y Y Y Y U Y Y Y X' R U' R D2 R' U R D2 R2 X 
D2 F D' B2 U L B F2 U2 B D U' B' U' L2 D2 F2 B2 U L' , F' U F U U U F2 Y F2 Y R' U R F2 Y U F2 Y B U' B' U U F' U' F U' F' U' F Y U' R U R' U' U' R U R' U' R U R' Y R U' R' U' F' U F Y R U' R' F' U' F Y Y Y L' B' L R' U' R U L' B L U Y Y Y Y U Y Y Y Y R2 Y' D' R U' R U R' Y D R2 Y R U' R' 
U2 R F B2 R2 U L2 D2 B2 U2 D2 B D2 R' B D2 F2 U D F2 , B' U B U F2 Y F' R U' R' U U F2 Y L' U' L F2 Y F' U F U U U F2 Y B' U2 B R U R' Y B U B' U F' U' F Y U' F U F' Y' Y U B U B' U U U U F' U2 F U F' U2 F Y U U F' U F U F' U2 F Y L' B' L U' R' U R U' R' U R L' B L U Y Y Y Y L U2 L' U2 L F' L' U' L U L F L2 U 
B2 U' F B' L' B' L2 F' U2 B2 D2 F2 D L2 D2 U2 F2 R2 L2 B , F R U' R' F' U U F2 Y R U R' F2 Y L' U' L F2 Y F' U F U U U F2 Y U' U R U' R' Y R U' R' B' U' B U U R U2 R' U' R U R' Y U2 F' U2 F U F' U' F Y U U' R U R' U R U R' Y Y Y U' R U2 R' U' R U' R2 Y' R' U' R U B U Y Y Y Y U Y Y R U' R U R U R U' R' U' R2 
