Scramble (State),Solution
F2 B' U2 D' R2 L' U' B2 U2 B U' L2 U2 L U2 R B2 F2 R2 D , R D' L' U2 L2 B R' D' B R' F D2 B2 R2 U' F2 U' R2 L2 F2 B2 
D2 B2 R' D' R2 B' U2 L2 F' D2 L2 U2 B2 L U' B2 F U2 D' R2 , U2 R' L2 F2 L D' R2 D2 B' R' B' U2 B2 D R2 B2 L2 U2 B2 U' R2 
B2 R B F D R2 L B' F2 D2 U2 R2 L2 D2 L R' F2 B2 D2 R2 , U B U2 R' F R2 D B2 R L2 B L2 B2 D2 R2 U2 L2 B2 U D2 L2 
F2 R' U2 B R2 L B2 U' L F2 U D2 L2 U2 B2 U B U' D' L , D' R F U2 D' B2 U L F' B R' D B2 U F2 L2 F2 U2 D' B2 U 
D B R2 F2 U L B' F2 D F2 D' L2 U2 D' F' U2 L2 R2 B2 F2 , U D2 F' D' F R F2 U B' U' F L2 U' F2 B2 L2 D' L2 D2 R2 
D2 B2 D L' R' B' D2 U' B R' F2 L2 D2 F2 L R2 D2 L2 R2 F' , U' R' F' D' B2 U' L2 U B2 R F D B2 U R2 U' F2 U' F2 U B2 
B' L' U2 R B' R2 F R2 L' B' L B2 U' B' L F2 U2 R' L2 B' , U F2 R2 L D2 B U D F L2 U' L' U' B2 D2 R2 D' L2 B2 D' R2 F2 
U' D2 L2 F' D2 U2 F2 R2 F' L2 F R L' U2 L2 D L2 B2 U2 R' , R2 L B' U2 R' D' R' L B L B' D2 R2 D' F2 R2 B2 U L2 U' 
L F2 R F2 B D' F2 D2 F2 D' L2 R2 D B2 D' F' D2 L R' B' , U R U2 L2 U' L2 F' R B D2 R2 B' L2 F2 R2 U' B2 U B2 U' L2 U' 
F2 D2 R2 F U2 L2 U B2 L2 U F B2 U2 D B D2 R F2 D2 B2 , R D2 L' B L2 B R B2 U2 F' U' L2 F2 L2 B2 U B2 U2 R2 U 
U2 F2 L2 B2 D' L' B' F2 L2 U R B2 R F2 B' D' L2 D2 F' B2 , F U' L2 F L' D F' R2 U' L2 F R2 D' R2 L2 B2 R2 U F2 B2 U 
D B' U2 R U2 B2 D2 U2 R L F B2 D B' L2 U2 L F2 B2 U , U2 B U L2 B' R' B' U F' L U2 D' R2 F2 L2 F2 U' R2 B2 
F' R2 F2 U2 D2 L2 R2 U2 R2 L2 D' U' F U2 D2 R2 B2 L2 R' F2 , F2 R F B2 U' D F' B U B' U2 B2 U' B2 D2 F2 R2 U D R2 
U' L2 F2 B2 R2 F2 B R2 F' B' R2 U2 B2 F' U' F' R L D2 U' , U R L B D F U' F2 B2 D' B R2 U' L2 D' L2 F2 D F2 R2 U2 
B2 D2 L2 R F' D2 F2 R2 U2 F' R2 F2 L2 R2 D2 F' D U L' R2 , L U2 D2 F B R L2 D' B' U F D R2 L2 B2 U' L2 D2 R2 U L2 
L B2 F2 U2 D2 R2 L2 F U2 B' L R' U' D2 B2 D2 L2 B2 L2 B2 , U D B2 R L B' D2 B' L2 B' L' U B2 U B2 R2 L2 D' L2 D' L2 
L' R U2 R2 L2 B2 D B2 D' U2 F' R2 D F2 L F2 U' R' D' U' , F2 U2 D R' D' R' F' R2 U' L F2 U2 L2 U' D2 R2 D F2 U2 
B2 D2 L2 D2 F2 D2 B L U R' U B R2 U2 L2 R2 U' D2 B2 U2 , F' B' R L2 U B' L B U' D B' L2 D2 R2 F2 U B2 D B2 U' 
R2 F2 R2 U2 R2 B' F R2 B2 L R D2 B U' L' F2 R' U2 F2 R2 , R B' R2 F L' U' R' B' D2 B D B2 D L2 U R2 U' L2 D2 F2 
U' D2 R2 F U2 R2 D' R F2 U2 R2 L' U R2 U D F2 U2 B L , R L2 F2 R2 D R2 L B' U R F' B2 D2 B2 L2 U' R2 D L2 B2 D' 
R2 F2 U2 D2 F2 B2 U2 D F U' D2 R2 L2 U' B' D2 B2 L2 B D2 , U R2 F2 B2 D' F' R2 F' U F D R2 D' F2 B2 L2 B2 
B2 F' R2 L U' D L2 R' F2 R' L' F2 D L F2 R2 F2 R' L' U2 , R U' L F2 B2 L D2 B2 D' L B' U2 R2 F2 U' B2 R2 F2 D' B2 D2 
B R' B' F U2 L F2 U2 B' U2 B2 D' R2 U2 B L2 F2 D' U2 R , U F B2 R2 D L' F' D L' D B' D B2 U2 R2 U' R2 B2 R2 F2 U' 
U2 F2 L2 D B L D2 U L2 U2 B2 U D2 L' F2 D2 U2 L' R2 B2 , U D2 B' U B' L B2 U R D2 F U2 D B2 U2 F2 U L2 F2 D' F2 
D' R2 D' B' U2 L2 F2 B2 U2 D' L B2 R' D2 U F' L U' B R2 , U F R2 D2 B2 L F' U F B U' R' B2 U2 F2 R2 U F2 B2 L2 B2 D 
D B2 R' U2 B2 L2 F L2 R' F2 D' L2 R' F' U2 F R' U' F2 L' , R' D' L B' D L2 D L2 F B R' F2 U2 L2 B2 L2 D' B2 R2 D L2 
U' R2 U' L2 D' R' B' L D2 L R' U2 R' U2 R2 U2 F D' L' D2 , U' B D R2 U' F2 D L U' F D2 B2 U' L2 U2 F2 U' L2 F2 
F' B' D F2 B R B2 D B2 U2 L2 U2 B' D2 L' D2 L2 F2 D2 R2 , F L F2 D2 R2 B U' R U2 D B' R2 F2 D L2 B2 R2 D2 R2 U2 R2 
F U' L2 R2 U2 F2 D' F R2 D' U' L B R' D' L F2 U L2 R , B' R U' B U2 D2 R D' L U' F R2 B2 L2 B2 D' F2 D F2 R2 L2 
U B R' B2 D L2 B' R2 F2 L U2 D' R' L2 U2 R2 U2 D2 L2 R2 , U F2 R2 U L F2 L B' U' D L U' D' F2 L2 U2 B2 L2 U2 B2 D2 
L F L' R2 D2 U F2 B' R L D' L2 R B U2 D2 B' U2 B' R' , D2 F' U2 F L2 F2 U2 F' U L' F2 U2 L2 U2 L2 F2 U R2 B2 U' 
B L B R' D' U L B2 L' D2 F' B2 D2 U2 R D B' L' B2 D2 , F2 U L U2 D' B' L2 B' L' F' R2 F2 D2 R2 F2 L2 U' B2 U' F2 
L2 R2 D2 B2 F U F' L2 B2 R L' U2 D2 R U' F2 L' R2 U2 R2 , B2 D2 B2 L' F D' F2 U' F' L U D F2 B2 D L2 B2 U' R2 F2 
